Fire,Medic,People,Power,Time
0,0,0,0,04-06 00
0,0,0,0,04-06 01
0,0,0,0,04-06 02
0,0,0,0,04-06 03
0,0,0,0,04-06 04
0,0,0,0,04-06 05
0,0,0,0,04-06 06
0,0,0,0,04-06 07
0,0,0,0,04-06 08
2,0,0,0,04-06 09
0,0,0,1,04-06 10
0,1,0,0,04-06 11
0,0,0,1,04-06 12
0,0,0,0,04-06 13
1,0,0,1,04-06 14
0,0,0,2,04-06 15
0,0,0,0,04-06 16
0,0,0,0,04-06 17
0,0,1,0,04-06 18
0,0,0,0,04-06 19
1,0,0,0,04-06 20
0,0,0,0,04-06 21
0,0,0,0,04-06 22
0,0,0,0,04-06 23
0,0,0,1,04-07 00
0,0,0,0,04-07 01
0,0,0,0,04-07 02
0,0,0,0,04-07 03
0,0,0,0,04-07 04
0,0,0,0,04-07 05
0,0,0,0,04-07 06
0,0,0,0,04-07 07
0,0,0,1,04-07 08
0,0,0,7,04-07 09
0,0,0,0,04-07 10
0,0,0,0,04-07 11
0,1,0,0,04-07 12
0,2,0,0,04-07 13
0,0,0,0,04-07 14
1,1,0,0,04-07 15
0,2,0,0,04-07 16
0,0,0,1,04-07 17
0,0,0,0,04-07 18
0,0,0,0,04-07 19
0,0,1,0,04-07 20
0,0,0,0,04-07 21
0,0,0,0,04-07 22
0,0,0,0,04-07 23
0,0,0,0,04-08 00
0,0,0,0,04-08 01
0,0,0,0,04-08 02
0,0,0,0,04-08 03
0,0,0,0,04-08 04
0,0,0,0,04-08 05
0,0,0,1,04-08 06
0,0,1,0,04-08 07
0,0,0,1,04-08 08
1,1,2,2,04-08 09
1,1,1,0,04-08 10
1,0,0,1,04-08 11
0,1,0,2,04-08 12
1,1,1,7,04-08 13
1,4,1,2,04-08 14
3,1,1,8,04-08 15
1,0,0,3,04-08 16
0,1,0,3,04-08 17
3,5,0,3,04-08 18
0,1,0,0,04-08 19
1,1,0,0,04-08 20
0,0,2,2,04-08 21
1,2,0,2,04-08 22
0,1,1,3,04-08 23
0,0,1,0,04-09 00
0,0,0,1,04-09 01
0,0,1,4,04-09 02
0,0,0,1,04-09 03
1,1,0,0,04-09 04
0,0,0,1,04-09 05
0,1,1,0,04-09 06
0,0,0,1,04-09 07
0,0,1,2,04-09 08
0,0,0,3,04-09 09
0,1,0,3,04-09 10
0,0,0,4,04-09 11
0,0,1,5,04-09 12
0,1,1,4,04-09 13
0,3,0,6,04-09 14
0,2,0,4,04-09 15
0,1,0,2,04-09 16
0,0,0,2,04-09 17
0,0,0,0,04-09 18
0,1,0,1,04-09 19
0,0,0,0,04-09 20
0,0,0,0,04-09 21
0,0,0,0,04-09 22
0,0,0,1,04-09 23
1,0,0,1,04-10 00
0,0,0,1,04-10 01
0,0,0,1,04-10 02
0,0,3,0,04-10 03
0,0,0,1,04-10 04
0,0,0,5,04-10 05
0,0,0,0,04-10 06
0,0,0,0,04-10 07
0,0,0,1,04-10 08
0,0,0,3,04-10 09
0,0,1,0,04-10 10
0,3,0,3,04-10 11